order_date,order_id,product,product_id,category,purchase_address,quantity_ordered,price_each,cost_price,turnover,margin,order_time,period_of_day,city
2023-01-20,141259,aaa batteries (4-pack),8114620073761,Alimentation,"920 Adams St, San Francisco, CA 94016",2,2.99,1.495,5.98,2.99,172600,mañana, San Francisco
2023-01-01,141260,aaa batteries (4-pack),9690713913382,Alimentation,"293 Hill St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,220000,noche, San Francisco
2023-01-09,141261,usb-c charging cable,3832854370801,Sports,"840 Lincoln St, Atlanta, GA 30301",1,11.95,5.975,11.95,5.975,181400,tarde, Atlanta
2023-01-16,141262,aaa batteries (4-pack),2888976535898,Sports,"291 Lincoln St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,123500,mañana, San Francisco
2023-01-11,141263,bose soundsport headphones,3424458315091,Vêtements,"640 Spruce St, Boston, MA 02215",1,99.99,49.995,99.99,49.995,233300,noche, Boston
2023-01-03,141264,apple airpods headphones,8604681316768,Vêtements,"937 Highland St, New York City, NY 10001",1,150,97.5,150,52.5,94600,noche, New York City
2023-01-01,141265,apple airpods headphones,8195982149575,Alimentation,"853 Ridge St, Boston, MA 02215",1,150,97.5,150,52.5,165200,mañana, Boston
2023-01-02,141266,27in 4k gaming monitor,5423123907353,Sports,"834 4th St, Dallas, TX 75001",1,389.99,128.69670000000002,389.99,261.2933,222100,noche, Dallas
2023-01-09,141267,apple airpods headphones,4263139574413,Sports,"649 Sunset St, Los Angeles, CA 90001",1,150,97.5,150,52.5,82800,noche, Los Angeles
2023-01-14,141268,aa batteries (4-pack),7300874677978,Vêtements,"611 Elm St, New York City, NY 10001",1,3.84,1.92,3.84,1.92,101300,noche, New York City
2023-01-03,141269,27in 4k gaming monitor,9305101001075,Sports,"812 Jefferson St, Los Angeles, CA 90001",1,389.99,128.69670000000002,389.99,261.2933,200500,noche, Los Angeles
2023-01-27,141270,wired headphones,2490250792761,Vêtements,"469 Hill St, San Francisco, CA 94016",1,11.99,5.995,11.99,5.995,231000,noche, San Francisco
2023-01-30,141271,usb-c charging cable,9012688756596,Électronique,"90 13th St, Boston, MA 02215",1,11.95,5.975,11.95,5.975,105100,noche, Boston
2023-01-12,141272,aaa batteries (4-pack),6609361466507,Sports,"818 Lincoln St, New York City, NY 10001",1,2.99,1.495,2.99,1.495,130900,mañana, New York City
2023-01-29,141273,wired headphones,2009029820937,Sports,"994 13th St, Boston, MA 02215",2,11.99,5.995,23.98,11.99,120400,mañana, Boston
2023-01-17,141274,usb-c charging cable,2458564127476,Sports,"8 Jackson St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975,113000,noche, Los Angeles
2023-01-07,141275,usb-c charging cable,6813732433143,Sports,"610 Walnut St, Austin, TX 73301",1,11.95,5.975,11.95,5.975,160600,mañana, Austin
2023-01-07,141275,wired headphones,5762058821030,Vêtements,"610 Walnut St, Austin, TX 73301",1,11.99,5.995,11.99,5.995,160600,mañana, Austin
2023-01-21,141276,lightning charging cable,4437399640739,Sports,"63 Cherry St, Los Angeles, CA 90001",1,14.95,7.475,14.95,7.475,222300,noche, Los Angeles
2023-01-13,141277,bose soundsport headphones,7022455706599,Électronique,"370 Lakeview St, Austin, TX 73301",1,99.99,49.995,99.99,49.995,190700,noche, Austin
2023-01-26,141278,lightning charging cable,3945577425210,Alimentation,"100 Cherry St, New York City, NY 10001",1,14.95,7.475,14.95,7.475,121400,mañana, New York City
2023-01-03,141279,lightning charging cable,2254370169596,Sports,"938 14th St, Boston, MA 02215",1,14.95,7.475,14.95,7.475,191000,noche, Boston
2023-01-20,141280,aaa batteries (4-pack),6968732579290,Électronique,"530 7th St, Los Angeles, CA 90001",1,2.99,1.495,2.99,1.495,161000,mañana, Los Angeles
2023-01-05,141281,lightning charging cable,8251683479623,Alimentation,"274 2nd St, Atlanta, GA 30301",1,14.95,7.475,14.95,7.475,165100,mañana, Atlanta
2023-01-11,141282,vareebadd phone,7519985342994,Sports,"125 Center St, New York City, NY 10001",1,400,132,400,268,181000,tarde, New York City
2023-01-29,141284,wired headphones,8507379009167,Vêtements,"462 1st St, Los Angeles, CA 90001",1,11.99,5.995,11.99,5.995,183000,tarde, Los Angeles
2023-01-14,141285,aaa batteries (4-pack),2484326257641,Alimentation,"447 Cedar St, Seattle, WA 98101",3,2.99,1.495,8.97,4.485,141300,mañana, Seattle
2023-01-02,141286,27in 4k gaming monitor,3429904483225,Vêtements,"505 Hickory St, Dallas, TX 75001",1,389.99,128.69670000000002,389.99,261.2933,203300,noche, Dallas
2023-01-31,141287,bose soundsport headphones,8932499335234,Alimentation,"386 Elm St, San Francisco, CA 94016",1,99.99,49.995,99.99,49.995,83800,noche, San Francisco
2023-01-19,141288,macbook pro laptop,3957658946411,Sports,"789 Washington St, Los Angeles, CA 90001",1,1700,561,1700,1139,81700,noche, Los Angeles
2023-01-28,141289,20in monitor,1334777256730,Alimentation,"534 Elm St, Atlanta, GA 30301",1,109.99,71.4935,109.99,38.4965,111700,noche, Atlanta
2023-01-02,141290,apple airpods headphones,9390176017956,Vêtements,"4 1st St, Los Angeles, CA 90001",1,150,97.5,150,52.5,82500,noche, Los Angeles
2023-01-02,141290,aa batteries (4-pack),5538988214120,Vêtements,"4 1st St, Los Angeles, CA 90001",3,3.84,1.92,11.52,5.76,82500,noche, Los Angeles
2023-01-26,141291,aa batteries (4-pack),9989998049236,Sports,"632 13th St, Los Angeles, CA 90001",1,3.84,1.92,3.84,1.92,181100,tarde, Los Angeles
2023-01-21,141292,aaa batteries (4-pack),4810474239131,Vêtements,"847 Ridge St, Los Angeles, CA 90001",1,2.99,1.495,2.99,1.495,84600,noche, Los Angeles
2023-01-18,141293,usb-c charging cable,3599006367992,Sports,"880 Washington St, Boston, MA 02215",1,11.95,5.975,11.95,5.975,122100,mañana, Boston
2023-01-25,141294,bose soundsport headphones,4880895321034,Électronique,"907 Highland St, San Francisco, CA 94016",1,99.99,49.995,99.99,49.995,81200,noche, San Francisco
2023-01-06,141295,aa batteries (4-pack),1276874624774,Vêtements,"898 Lakeview St, Austin, TX 73301",1,3.84,1.92,3.84,1.92,200600,noche, Austin
2023-01-04,141297,lightning charging cable,3239456558825,Sports,"566 Highland St, San Francisco, CA 94016",1,14.95,7.475,14.95,7.475,110900,noche, San Francisco
2023-01-21,141298,lightning charging cable,3941481759871,Vêtements,"81 10th St, Dallas, TX 75001",1,14.95,7.475,14.95,7.475,132400,mañana, Dallas
2023-01-31,141299,aaa batteries (4-pack),3021537163246,Alimentation,"836 Hill St, Dallas, TX 75001",1,2.99,1.495,2.99,1.495,232300,noche, Dallas
2023-01-23,141300,apple airpods headphones,8895422924583,Vêtements,"121 Cherry St, Boston, MA 02215",1,150,97.5,150,52.5,102100,noche, Boston
2023-01-27,141301,apple airpods headphones,8598109744000,Sports,"867 Hill St, New York City, NY 10001",1,150,97.5,150,52.5,115800,noche, New York City
2023-01-18,141302,aaa batteries (4-pack),5743606040967,Alimentation,"90 14th St, Portland, OR 97035",2,2.99,1.495,5.98,2.99,201200,noche, Portland
2023-01-19,141303,aa batteries (4-pack),3988945383921,Sports,"313 14th St, Seattle, WA 98101",1,3.84,1.92,3.84,1.92,92300,noche, Seattle
2023-01-28,141304,usb-c charging cable,2795221908451,Sports,"363 Willow St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975,131000,mañana, Los Angeles
2023-01-27,141305,aaa batteries (4-pack),9992004933513,Vêtements,"756 Wilson St, Austin, TX 73301",3,2.99,1.495,8.97,4.485,165100,mañana, Austin
2023-01-19,141306,wired headphones,1738575276006,Sports,"458 Forest St, San Francisco, CA 94016",1,11.99,5.995,11.99,5.995,102500,noche, San Francisco
2023-01-11,141307,aaa batteries (4-pack),3742602898811,Électronique,"895 Johnson St, Boston, MA 02215",1,2.99,1.495,2.99,1.495,111800,noche, Boston
2023-01-12,141308,27in fhd monitor,2444962153827,Vêtements,"926 Cedar St, Portland, OR 97035",1,149.99,97.4935,149.99,52.4965,120000,mañana, Portland
2023-01-20,141309,aaa batteries (4-pack),3790541892260,Électronique,"423 Elm St, San Francisco, CA 94016",2,2.99,1.495,5.98,2.99,70200,noche, San Francisco
2023-01-07,141310,aaa batteries (4-pack),3674220232271,Alimentation,"679 8th St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,133200,mañana, San Francisco
2023-01-28,141311,34in ultrawide monitor,8131150697525,Électronique,"223 North St, Atlanta, GA 30301",1,379.99,125.3967,379.99,254.5933,124500,mañana, Atlanta
2023-01-08,141312,apple airpods headphones,7813157077566,Vêtements,"741 11th St, San Francisco, CA 94016",1,150,97.5,150,52.5,232000,noche, San Francisco
2023-01-09,141313,lightning charging cable,8870146702235,Vêtements,"38 Johnson St, Los Angeles, CA 90001",1,14.95,7.475,14.95,7.475,150300,mañana, Los Angeles
2023-01-13,141314,macbook pro laptop,2892197004217,Sports,"700 Jefferson St, New York City, NY 10001",1,1700,561,1700,1139,235100,noche, New York City
2023-01-01,141316,aaa batteries (4-pack),8395970487080,Alimentation,"235 South St, Seattle, WA 98101",3,2.99,1.495,8.97,4.485,72600,noche, Seattle
2023-01-21,141317,27in fhd monitor,9571682095729,Vêtements,"875 Meadow St, New York City, NY 10001",1,149.99,97.4935,149.99,52.4965,111800,noche, New York City
2023-01-09,141318,bose soundsport headphones,9187067749620,Alimentation,"789 Lakeview St, Boston, MA 02215",1,99.99,49.995,99.99,49.995,152100,mañana, Boston
2023-01-01,141319,bose soundsport headphones,7326188331914,Alimentation,"548 Maple St, Boston, MA 02215",1,99.99,49.995,99.99,49.995,104300,noche, Boston
2023-01-24,141320,aa batteries (4-pack),4371695914307,Électronique,"326 12th St, Los Angeles, CA 90001",1,3.84,1.92,3.84,1.92,133700,mañana, Los Angeles
2023-01-10,141321,bose soundsport headphones,4225062546369,Alimentation,"207 8th St, Los Angeles, CA 90001",1,99.99,49.995,99.99,49.995,90700,noche, Los Angeles
2023-01-12,141322,aaa batteries (4-pack),6636561921176,Sports,"816 Lake St, Boston, MA 02215",2,2.99,1.495,5.98,2.99,215600,noche, Boston
2023-01-17,141323,usb-c charging cable,7513253917740,Électronique,"240 River St, New York City, NY 10001",1,11.95,5.975,11.95,5.975,215400,noche, New York City
2023-01-04,141324,usb-c charging cable,3941057910337,Vêtements,"851 Maple St, San Francisco, CA 94016",1,11.95,5.975,11.95,5.975,233600,noche, San Francisco
2023-01-23,141325,bose soundsport headphones,9430106405626,Électronique,"880 Lake St, Austin, TX 73301",1,99.99,49.995,99.99,49.995,151700,mañana, Austin
2023-01-05,141326,google phone,4599223183416,Électronique,"131 Center St, San Francisco, CA 94016",1,600,198,600,402,134900,mañana, San Francisco
2023-01-06,141328,thinkpad laptop,3335441961489,Alimentation,"736 5th St, Seattle, WA 98101",1,999.99,329.99670000000003,999.99,669.9933,231800,noche, Seattle
2023-01-01,141329,usb-c charging cable,6757344694676,Électronique,"122 5th St, Portland, ME 04101",1,11.95,5.975,11.95,5.975,160100,mañana, Portland
2023-01-21,141330,wired headphones,5149226101332,Alimentation,"391 5th St, Portland, OR 97035",1,11.99,5.995,11.99,5.995,130400,mañana, Portland
2023-01-19,141332,usb-c charging cable,9765297802760,Vêtements,"207 7th St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975,185200,tarde, Los Angeles
2023-01-01,141333,27in fhd monitor,5735966889669,Alimentation,"554 10th St, Los Angeles, CA 90001",1,149.99,97.4935,149.99,52.4965,135800,mañana, Los Angeles
2023-01-12,141335,aaa batteries (4-pack),2058342872013,Alimentation,"174 4th St, Los Angeles, CA 90001",5,2.99,1.495,14.95,7.475,181600,tarde, Los Angeles
2023-01-09,141336,iphone,2453023947358,Vêtements,"811 Hickory St, Portland, OR 97035",1,700,231,700,469,182300,tarde, Portland
2023-01-09,141337,bose soundsport headphones,5500387518508,Électronique,"947 Church St, San Francisco, CA 94016",1,99.99,49.995,99.99,49.995,92200,noche, San Francisco
2023-01-29,141338,aaa batteries (4-pack),5513922953821,Alimentation,"542 4th St, Dallas, TX 75001",1,2.99,1.495,2.99,1.495,161900,mañana, Dallas
2023-01-28,141339,aaa batteries (4-pack),7567049972309,Sports,"539 Lakeview St, Dallas, TX 75001",1,2.99,1.495,2.99,1.495,125200,mañana, Dallas
2023-01-27,141340,lightning charging cable,2447527710441,Électronique,"710 Johnson St, Boston, MA 02215",1,14.95,7.475,14.95,7.475,143000,mañana, Boston
2023-01-13,141341,lg dryer,3693247139316,Vêtements,"844 Walnut St, Austin, TX 73301",1,600,198,600,402,100900,noche, Austin
2023-01-26,141342,wired headphones,1964937699362,Électronique,"119 9th St, Seattle, WA 98101",1,11.99,5.995,11.99,5.995,211300,noche, Seattle
2023-01-24,141343,bose soundsport headphones,2161665949509,Sports,"157 1st St, New York City, NY 10001",1,99.99,49.995,99.99,49.995,133600,mañana, New York City
2023-01-20,141344,apple airpods headphones,2687143374815,Sports,"443 Washington St, Portland, OR 97035",1,150,97.5,150,52.5,123800,mañana, Portland
2023-01-09,141345,usb-c charging cable,8036467119144,Électronique,"398 5th St, San Francisco, CA 94016",1,11.95,5.975,11.95,5.975,135500,mañana, San Francisco
2023-01-14,141346,apple airpods headphones,9856974146595,Sports,"285 Cherry St, Boston, MA 02215",1,150,97.5,150,52.5,135900,mañana, Boston
2023-01-27,141347,aa batteries (4-pack),4286992161856,Alimentation,"885 Walnut St, Atlanta, GA 30301",1,3.84,1.92,3.84,1.92,174600,mañana, Atlanta
2023-01-26,141348,usb-c charging cable,8893195604756,Vêtements,"493 5th St, Portland, OR 97035",2,11.95,5.975,23.9,11.95,185600,tarde, Portland
2023-01-03,141349,lightning charging cable,9861394717513,Vêtements,"886 10th St, New York City, NY 10001",1,14.95,7.475,14.95,7.475,205100,noche, New York City
2023-01-01,141350,lightning charging cable,2897939401192,Vêtements,"804 River St, San Francisco, CA 94016",1,14.95,7.475,14.95,7.475,111700,noche, San Francisco
2023-01-24,141351,usb-c charging cable,6826664464310,Électronique,"865 Church St, San Francisco, CA 94016",2,11.95,5.975,23.9,11.95,170200,mañana, San Francisco
2023-01-11,141352,lightning charging cable,2890452735932,Vêtements,"800 4th St, Los Angeles, CA 90001",1,14.95,7.475,14.95,7.475,190700,noche, Los Angeles
2023-01-26,141353,usb-c charging cable,7623107737484,Vêtements,"870 Cherry St, New York City, NY 10001",1,11.95,5.975,11.95,5.975,103500,noche, New York City
2023-01-03,141354,bose soundsport headphones,1869928502248,Électronique,"869 Hill St, Atlanta, GA 30301",1,99.99,49.995,99.99,49.995,111200,noche, Atlanta
2023-01-18,141355,27in 4k gaming monitor,5083427771685,Électronique,"674 Main St, Dallas, TX 75001",1,389.99,128.69670000000002,389.99,261.2933,152400,mañana, Dallas
2023-01-09,141356,lightning charging cable,8733985102810,Vêtements,"336 1st St, Boston, MA 02215",1,14.95,7.475,14.95,7.475,173200,mañana, Boston
2023-01-05,141358,lightning charging cable,5899330525666,Alimentation,"911 Madison St, San Francisco, CA 94016",1,14.95,7.475,14.95,7.475,153100,mañana, San Francisco
2023-01-09,141359,aaa batteries (4-pack),7190204643454,Électronique,"383 11th St, Seattle, WA 98101",2,2.99,1.495,5.98,2.99,222100,noche, Seattle
2023-01-17,141360,macbook pro laptop,4898157007261,Alimentation,"263 Meadow St, Los Angeles, CA 90001",1,1700,561,1700,1139,210000,noche, Los Angeles
2023-01-23,141361,apple airpods headphones,5160754547693,Électronique,"181 Lakeview St, Portland, OR 97035",2,150,97.5,300,105,153900,mañana, Portland
2023-01-02,141362,lightning charging cable,5216181481849,Alimentation,"392 Cherry St, Atlanta, GA 30301",1,14.95,7.475,14.95,7.475,221700,noche, Atlanta
2023-01-08,141363,wired headphones,1622123382502,Sports,"921 Highland St, Dallas, TX 75001",1,11.99,5.995,11.99,5.995,62400,noche, Dallas
2023-01-01,141364,aa batteries (4-pack),6226783330388,Électronique,"657 Lincoln St, Dallas, TX 75001",1,3.84,1.92,3.84,1.92,74600,noche, Dallas
2023-01-10,141365,vareebadd phone,2984581451968,Alimentation,"20 Dogwood St, New York City, NY 10001",1,400,132,400,268,111900,noche, New York City
2023-01-10,141365,wired headphones,9336213253074,Électronique,"20 Dogwood St, New York City, NY 10001",1,11.99,5.995,11.99,5.995,111900,noche, New York City
2023-01-09,141367,27in 4k gaming monitor,4637385864399,Sports,"23 13th St, San Francisco, CA 94016",1,389.99,128.69670000000002,389.99,261.2933,100600,noche, San Francisco
2023-01-10,141368,usb-c charging cable,9072352895358,Alimentation,"387 Hill St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975,213900,noche, Los Angeles
2023-01-21,141369,lightning charging cable,4274934655851,Vêtements,"785 9th St, San Francisco, CA 94016",1,14.95,7.475,14.95,7.475,210300,noche, San Francisco
2023-01-24,141370,aaa batteries (4-pack),4731118510328,Sports,"375 Center St, Seattle, WA 98101",2,2.99,1.495,5.98,2.99,205300,noche, Seattle
2023-01-23,141371,lightning charging cable,6811446717063,Électronique,"685 West St, Atlanta, GA 30301",1,14.95,7.475,14.95,7.475,183400,tarde, Atlanta
2023-01-26,141372,aaa batteries (4-pack),9232347862381,Électronique,"134 Hickory St, Portland, ME 04101",1,2.99,1.495,2.99,1.495,100700,noche, Portland
2023-01-20,141373,27in fhd monitor,6960528486519,Alimentation,"82 Hickory St, San Francisco, CA 94016",1,149.99,97.4935,149.99,52.4965,130800,mañana, San Francisco
2023-01-14,141374,wired headphones,5588098157823,Vêtements,"386 12th St, Boston, MA 02215",1,11.99,5.995,11.99,5.995,101200,noche, Boston
2023-01-10,141375,27in 4k gaming monitor,8171971097683,Vêtements,"49 Center St, Los Angeles, CA 90001",1,389.99,128.69670000000002,389.99,261.2933,135100,mañana, Los Angeles
2023-01-20,141376,wired headphones,6633779583659,Alimentation,"32 West St, Los Angeles, CA 90001",1,11.99,5.995,11.99,5.995,145700,mañana, Los Angeles
2023-01-20,141377,wired headphones,3138959044400,Sports,"711 11th St, San Francisco, CA 94016",1,11.99,5.995,11.99,5.995,151200,mañana, San Francisco
2023-01-22,141378,usb-c charging cable,4675191790918,Électronique,"777 North St, Boston, MA 02215",1,11.95,5.975,11.95,5.975,102500,noche, Boston
2023-01-25,141379,aa batteries (4-pack),7879262389139,Sports,"378 Center St, San Francisco, CA 94016",1,3.84,1.92,3.84,1.92,180000,tarde, San Francisco
2023-01-17,141380,usb-c charging cable,5977462016922,Électronique,"868 14th St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975,184500,tarde, Los Angeles
2023-01-03,141381,bose soundsport headphones,2692809518964,Sports,"336 Jackson St, Los Angeles, CA 90001",1,99.99,49.995,99.99,49.995,182200,tarde, Los Angeles
2023-01-16,141382,aaa batteries (4-pack),6419823204939,Sports,"613 Ridge St, Dallas, TX 75001",1,2.99,1.495,2.99,1.495,135000,mañana, Dallas
2023-01-08,141383,aaa batteries (4-pack),4572323637166,Alimentation,"418 11th St, Boston, MA 02215",1,2.99,1.495,2.99,1.495,100100,noche, Boston
2023-01-10,141385,macbook pro laptop,9336243190730,Sports,"502 Walnut St, Atlanta, GA 30301",1,1700,561,1700,1139,125900,mañana, Atlanta
2023-01-08,141386,lightning charging cable,6563440120633,Alimentation,"692 13th St, New York City, NY 10001",1,14.95,7.475,14.95,7.475,192700,noche, New York City
2023-01-17,141387,aaa batteries (4-pack),6172565372246,Vêtements,"807 Jackson St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495,111200,noche, San Francisco
2023-01-22,141388,lightning charging cable,8898725736506,Alimentation,"24 Park St, Dallas, TX 75001",1,14.95,7.475,14.95,7.475,105300,noche, Dallas
2023-01-26,141389,aa batteries (4-pack),4717637025243,Alimentation,"176 Church St, Los Angeles, CA 90001",1,3.84,1.92,3.84,1.92,110700,noche, Los Angeles
2023-01-26,141390,wired headphones,5663329163205,Sports,"667 Park St, New York City, NY 10001",1,11.99,5.995,11.99,5.995,112200,noche, New York City
2023-01-31,141391,bose soundsport headphones,1140729220447,Alimentation,"375 Johnson St, New York City, NY 10001",1,99.99,49.995,99.99,49.995,100200,noche, New York City
2023-01-25,141392,apple airpods headphones,1944397478598,Vêtements,"755 Cherry St, Seattle, WA 98101",1,150,97.5,150,52.5,135100,mañana, Seattle
2023-01-18,141393,usb-c charging cable,9154102342517,Électronique,"240 Meadow St, Boston, MA 02215",1,11.95,5.975,11.95,5.975,175700,mañana, Boston
2023-01-06,141394,iphone,6557914369516,Électronique,"534 12th St, San Francisco, CA 94016",1,700,231,700,469,165400,mañana, San Francisco
2023-01-29,141395,aaa batteries (4-pack),6755546276339,Sports,"790 Hickory St, Portland, ME 04101",1,2.99,1.495,2.99,1.495,162000,mañana, Portland
2023-01-26,141396,usb-c charging cable,2553148856494,Sports,"141 Elm St, San Francisco, CA 94016",1,11.95,5.975,11.95,5.975,141000,mañana, San Francisco
2023-01-13,141397,lightning charging cable,7828761823422,Alimentation,"940 8th St, New York City, NY 10001",1,14.95,7.475,14.95,7.475,125900,mañana, New York City
2023-01-04,141398,aaa batteries (4-pack),8202742459278,Électronique,"33 Jackson St, Dallas, TX 75001",1,2.99,1.495,2.99,1.495,163100,mañana, Dallas
2023-01-17,141399,thinkpad laptop,6460217819643,Alimentation,"830 Walnut St, Atlanta, GA 30301",1,999.99,329.99670000000003,999.99,669.9933,95700,noche, Atlanta
2023-01-18,141400,lightning charging cable,4760493229811,Vêtements,"215 Park St, New York City, NY 10001",1,14.95,7.475,14.95,7.475,180900,tarde, New York City
2023-01-23,141401,apple airpods headphones,2978752117594,Sports,"34 Cedar St, Portland, OR 97035",1,150,97.5,150,52.5,125000,mañana, Portland
2023-01-07,141402,aaa batteries (4-pack),7560352898387,Électronique,"939 Lakeview St, Atlanta, GA 30301",1,2.99,1.495,2.99,1.495,125600,mañana, Atlanta
2023-01-26,141403,lightning charging cable,5407208074325,Vêtements,"216 Meadow St, Boston, MA 02215",1,14.95,7.475,14.95,7.475,164100,mañana, Boston
2023-01-29,141404,aa batteries (4-pack),7080731620631,Vêtements,"200 14th St, San Francisco, CA 94016",1,3.84,1.92,3.84,1.92,200600,noche, San Francisco
2023-01-29,141405,wired headphones,2356744859220,Alimentation,"247 Forest St, Los Angeles, CA 90001",1,11.99,5.995,11.99,5.995,110000,noche, Los Angeles
2023-01-28,141406,usb-c charging cable,7537967606333,Électronique,"110 13th St, Seattle, WA 98101",1,11.95,5.975,11.95,5.975,120200,mañana, Seattle
2023-01-01,141407,apple airpods headphones,7984447015023,Sports,"946 12th St, Portland, ME 04101",1,150,97.5,150,52.5,160600,mañana, Portland
2023-01-07,141408,apple airpods headphones,2295476248120,Sports,"103 14th St, San Francisco, CA 94016",1,150,97.5,150,52.5,132500,mañana, San Francisco
2023-01-01,141409,bose soundsport headphones,6756439969753,Électronique,"36 Highland St, Portland, ME 04101",1,99.99,49.995,99.99,49.995,214900,noche, Portland
2023-01-03,141410,27in fhd monitor,9851783539987,Sports,"890 6th St, Dallas, TX 75001",1,149.99,97.4935,149.99,52.4965,220200,noche, Dallas
2023-01-14,141412,aa batteries (4-pack),2225755788048,Alimentation,"397 Dogwood St, Atlanta, GA 30301",2,3.84,1.92,7.68,3.84,171600,mañana, Atlanta
2023-01-24,141413,aa batteries (4-pack),3170405342774,Électronique,"793 5th St, San Francisco, CA 94016",1,3.84,1.92,3.84,1.92,175400,mañana, San Francisco
2023-01-12,141415,wired headphones,3269415940241,Vêtements,"81 Madison St, San Francisco, CA 94016",1,11.99,5.995,11.99,5.995,190200,noche, San Francisco
2023-01-02,141416,aaa batteries (4-pack),8863804102309,Électronique,"209 North St, Atlanta, GA 30301",1,2.99,1.495,2.99,1.495,133700,mañana, Atlanta
2023-01-03,141417,bose soundsport headphones,8265359122088,Sports,"207 1st St, San Francisco, CA 94016",1,99.99,49.995,99.99,49.995,82100,noche, San Francisco
2023-01-10,141418,apple airpods headphones,7694586455521,Vêtements,"145 Lakeview St, New York City, NY 10001",1,150,97.5,150,52.5,124800,mañana, New York City
